video_id,rank,component,bot_id,phase,level,time,channel_id,parent_video_id
0bIhD6GzYq4,9,videopage,sean.carter.99.test,burst,1,2022-03-16 16:47:54.248639,UCW8_krLUqX1EVR_vXD1ml4g,LyPTfSyVOwE
0-qAxWMjSKw,0,homepage,sean.carter.99.test,burst,2,2022-03-16 16:50:03.275391,,
nP9zoP3km7g,1,homepage,sean.carter.99.test,burst,2,2022-03-16 16:50:03.285602,,
9voZnLhXFL4,2,homepage,sean.carter.99.test,burst,2,2022-03-16 16:50:03.294514,,
YIVoecc9O3w,3,homepage,sean.carter.99.test,burst,2,2022-03-16 16:50:03.302704,,
z_4ns_xzlVs,4,homepage,sean.carter.99.test,burst,2,2022-03-16 16:50:03.311126,,
DSCkYRTjlNw,5,homepage,sean.carter.99.test,burst,2,2022-03-16 16:50:03.319651,,
aOcAqCvH66Q,6,homepage,sean.carter.99.test,burst,2,2022-03-16 16:50:03.327909,,
-9pTrFJj8tE,7,homepage,sean.carter.99.test,burst,2,2022-03-16 16:50:03.335691,,
-9pTrFJj8tE,8,homepage,sean.carter.99.test,burst,2,2022-03-16 16:50:03.343483,,
q1JEHOC-KNM,9,homepage,sean.carter.99.test,burst,2,2022-03-16 16:50:03.351848,,
MlzrC-B6n-M,0,videopage,sean.carter.99.test,burst,2,2022-03-16 16:50:19.836155,UC3eKKASjWY-WAGRII9iKHsQ,UkEq5BikkrM
Zna1r0rpr8A,1,videopage,sean.carter.99.test,burst,2,2022-03-16 16:50:19.836165,UCAPlkRGvp4_JnsIyOJmpgDg,UkEq5BikkrM
mPMxlYeeo4w,2,videopage,sean.carter.99.test,burst,2,2022-03-16 16:50:19.836167,UCGk3_R7hOzRaXcdTnF4QJvw,UkEq5BikkrM
RYwCxUkQeIQ,3,videopage,sean.carter.99.test,burst,2,2022-03-16 16:50:19.836169,UCR416vnUgUYBauuu3TDchoQ,UkEq5BikkrM
HdKK3XtUnFY,4,videopage,sean.carter.99.test,burst,2,2022-03-16 16:50:19.836170,UCzF4Ryn8TKn64md77gS5Q5Q,UkEq5BikkrM
oDC8EuSLKLw,5,videopage,sean.carter.99.test,burst,2,2022-03-16 16:50:19.836171,UCRuc-qUpo-9VZ-xtEw1kyBA,UkEq5BikkrM
caNRc1ER8p4,6,videopage,sean.carter.99.test,burst,2,2022-03-16 16:50:19.836173,UCEUWJj0VjNJ1UoeAsjXY8tg,UkEq5BikkrM
vHqnqRvcKF8,7,videopage,sean.carter.99.test,burst,2,2022-03-16 16:50:19.836174,UCucJciSw115PXsboggrPZtQ,UkEq5BikkrM
L7vTv-FMAPk,8,videopage,sean.carter.99.test,burst,2,2022-03-16 16:50:19.836175,UCU7c62_Znm0bmzCzRbTy7Kg,UkEq5BikkrM
Pb4j2UqkOJ0,9,videopage,sean.carter.99.test,burst,2,2022-03-16 16:50:19.836177,UCZWdbVjofcSWVus4_dt9ngA,UkEq5BikkrM
0-qAxWMjSKw,0,homepage,sean.carter.99.test,burst,3,2022-03-16 16:52:28.991505,,
nP9zoP3km7g,1,homepage,sean.carter.99.test,burst,3,2022-03-16 16:52:29.001841,,
9voZnLhXFL4,2,homepage,sean.carter.99.test,burst,3,2022-03-16 16:52:29.010980,,
ULdkpU51hTQ,3,homepage,sean.carter.99.test,burst,3,2022-03-16 16:52:29.019694,,
GtwZreBfpqY,4,homepage,sean.carter.99.test,burst,3,2022-03-16 16:52:29.027551,,
aOcAqCvH66Q,5,homepage,sean.carter.99.test,burst,3,2022-03-16 16:52:29.035795,,
DSCkYRTjlNw,6,homepage,sean.carter.99.test,burst,3,2022-03-16 16:52:29.043999,,
YfQhxvMTWik,7,homepage,sean.carter.99.test,burst,3,2022-03-16 16:52:29.052467,,
-9pTrFJj8tE,8,homepage,sean.carter.99.test,burst,3,2022-03-16 16:52:29.060103,,
-9pTrFJj8tE,9,homepage,sean.carter.99.test,burst,3,2022-03-16 16:52:29.069768,,
SJ3SVkhdwdQ,0,videopage,sean.carter.99.test,burst,3,2022-03-16 16:52:45.592558,UCy6a34rxOAbJ1Fj17MAzLdg,38QbLe5rMhg
HdKK3XtUnFY,1,videopage,sean.carter.99.test,burst,3,2022-03-16 16:52:45.592567,UCzF4Ryn8TKn64md77gS5Q5Q,38QbLe5rMhg
fJuapp9SORA,2,videopage,sean.carter.99.test,burst,3,2022-03-16 16:52:45.592569,UC4fw-Kb3cIVecgHJgtmLREQ,38QbLe5rMhg
aA6ew5wSnA0,3,videopage,sean.carter.99.test,burst,3,2022-03-16 16:52:45.592570,UCzF4Ryn8TKn64md77gS5Q5Q,38QbLe5rMhg
pu5GKwygrKM,4,videopage,sean.carter.99.test,burst,3,2022-03-16 16:52:45.592572,UCzF4Ryn8TKn64md77gS5Q5Q,38QbLe5rMhg
RYwCxUkQeIQ,5,videopage,sean.carter.99.test,burst,3,2022-03-16 16:52:45.592573,UCR416vnUgUYBauuu3TDchoQ,38QbLe5rMhg
4OvJR_ke5uM,6,videopage,sean.carter.99.test,burst,3,2022-03-16 16:52:45.592574,UCGk3_R7hOzRaXcdTnF4QJvw,38QbLe5rMhg
3K8dNctci1Y,7,videopage,sean.carter.99.test,burst,3,2022-03-16 16:52:45.592576,UCxQ7O75INoRvnYEa40eSOZg,38QbLe5rMhg
Q5D2RvIQwQE,8,videopage,sean.carter.99.test,burst,3,2022-03-16 16:52:45.592577,UC7KrYaGtqeOnJuDVXOxt0Yg,38QbLe5rMhg
